"zip","latitude","longitude","sentences"
"00965",18.42284,-66.112327,239
"01432",42.52618,-71.623132,982
"03570",44.521132,-71.137812,1118
"06811",41.437411,-73.468124,993
"08320",39.384662,-75.159859,1160
"08640",39.998386,-74.61333,4664
"10007",40.713105,-74.001499,103
"10963",41.486443,-74.535887,958
"11232",40.660408,-74.004472,640
"12977",44.290579,-74.093694,922
"15940",40.496414,-78.620382,1306
"16738",41.798353,-78.687103,1401
"16866",40.921755,-78.239472,1808
"17810",41.132036,-76.927686,3186
"17837",40.986664,-76.913736,1611
"17954",40.732477,-76.344072,1242
"18472",41.567457,-75.412286,1392
"19106",39.952426,-75.151942,152
"21502",39.597205,-78.754283,1190
"23860",37.297869,-77.3417055,3037
"24277",36.702825,-83.002041,1503
"24801",37.470298,-81.553426,1579
"24910",37.724667,-80.668005,1101
"25813",37.81748,-81.129301,1963
"26351",38.916037,-80.780623,1509
"26501",39.604508,-79.95023,1088
"26525",39.673834,-79.498998,1936
"27509",36.141739,-78.804965,4336
"27986",36.40364,-76.957589,925
"29512",34.67299,-79.725348,1677
"29590",33.589885,-79.879069,1689
"29824",33.758669,-81.916903,2083
"29918",32.721423,-81.253618,1351
"30315",33.71254,-84.368065,2318
"31055",32.054394,-82.877434,2061
"31537",30.871722,-81.981592,2445
"31599",31.563664,-81.902234,1739
"32301",30.443172,-84.224369,1029
"32446",30.813955,-85.188838,1372
"32509",30.46364,-87.343146,726
"33132",25.778411,-80.193217,604
"33177",25.618313,-80.412477,1426
"33521",28.760196,-82.01244,6731
"35160",33.422432,-86.140392,1264
"35442",33.176326,-88.192975,1678
"36112",32.395436,-86.359888,911
"38134",35.155787,-89.866126,1423
"39120",31.559019,-91.220072,2269
"39194",32.886693,-90.432438,3342
"40511",38.104643,-84.560369,1962
"40962",37.180037,-83.789133,1429
"41105",38.435816,-82.704896,1537
"41224",37.773826,-82.647241,1408
"42635",36.687942,-84.389351,1339
"44432",40.772437,-80.705083,2289
"44501",41.131391,-80.632066,1473
"47802",39.408011,-87.454995,1474
"47808",39.414831,-87.451225,1611
"48160",42.098858,-83.67091,1374
"53952",43.863713,-89.648941,1160
"55072",46.109902,-92.853461,1264
"55811",46.834292,-92.195354,795
"55904",44.024732,-92.434983,782
"56093",44.067231,-93.516641,1009
"57078",42.879198,-97.391816,796
"60605",41.876815,-87.630451,187
"61554",40.536288,-89.659476,1380
"62246",38.86748,-89.409548,1469
"62959",37.66282,-88.985456,1461
"65807",37.177475,-93.323317,824
"66048",39.329986,-94.936628,2148
"71463",30.8321375,-92.6370675,2574
"71467",31.463861,-92.439884,3234
"72335",34.979818,-90.803971,3713
"73036",35.534389,-98.003838,1190
"73169",35.390753,-97.616397,1177
"75159",32.659571,-96.569396,1691
"75501",33.377055,-94.090145,1451
"76119",32.679596,-97.287277,1807
"76127",32.781949,-97.419109,1652
"76837",31.216891,-99.834185,1407
"77002",29.758308,-95.360613,259
"77705",29.964871,-94.07919,5368
"77803",30.678237,-96.361013,841
"78071",28.446808,-98.322638,1439
"78580",26.47027,-97.761369,2640
"78602",30.193155,-97.307716,1319
"79356",33.201074,-101.373421,1700
"79720",32.226991,-101.510346,5193
"79772",31.392216,-103.539971,3717
"79821",31.982435,-106.590432,1624
"80123",39.640719,-105.105512,981
"81226",38.361524,-105.096846,2517
"85086",33.833697,-112.167794,1213
"85546",32.71711,-109.726891,1123
"85756",32.088098,-110.861148,2084
"87021",35.180119,-107.907324,1029
"90012",34.053549,-118.238548,164
"90731",33.728544,-118.26816,967
"92101",32.713904,-117.166052,166
"92394",34.570578,-117.361306,4645
"93268",35.101158,-119.383319,2315
"93436",34.6768455,-120.5017175,3260
"93640",36.731873,-120.392629,1200
"94568",37.717998,-121.894811,1096
"95301",37.38303,-120.566323,1466
"96113",40.152434,-120.154681,1587
"96819",21.333395,-157.928355,105
"97378",45.085281,-123.382494,1680
"98198",47.422035,-122.301692,350
