"category","offense","number"
1,"total",57503
2,"total",19576
3,"total",28090
4,"total",19690
5,"total",13714
6,"total",40314
1,"violent",1779
2,"violent",645
3,"violent",991
4,"violent",840
5,"violent",561
6,"violent",3474
1,"property",6225
2,"property",1027
3,"property",1188
4,"property",747
5,"property",566
6,"property",1246
1,"drug",30315
2,"drug",11068
3,"drug",15077
4,"drug",8349
5,"drug",5130
6,"drug",21620
1,"public order",4661
2,"public order",910
3,"public order",1167
4,"public order",775
5,"public order",454
6,"public order",1614
1,"weapon",4156
2,"weapon",2136
3,"weapon",4075
4,"weapon",4515
5,"weapon",3635
6,"weapon",9377
1,"immigration",1230
2,"immigration",2456
3,"immigration",4442
4,"immigration",3923
5,"immigration",2871
6,"immigration",2524
1,"sex",8637
2,"sex",1215
3,"sex",965
4,"sex",398
5,"sex",336
6,"sex",245
