"year","race_asian","race_black","race_hispanic","race_aian","race_white"
1994,917,27658,20428,1236,31240
1995,1052,30238,21809,1291,31141
1996,1193,32841,23594,1433,30708
1997,1345,35519,26017,1533,31093
1998,1533,39861,29828,1691,32326
1999,1654,43360,34391,1847,33540
2000,1859,46204,39951,1827,34661
2001,1784,49224,42845,1931,35807
2002,1817,51858,44870,2023,37457
2003,1960,54940,48179,2131,40033
2004,2053,57334,49981,2620,42528
2005,2214,59761,52177,2847,44587
2006,2480,62296,53390,2936,46885
2007,2534,65431,55175,3032,49304
2008,2677,65665,56441,3121,49960
2009,2901,68415,60894,3268,51877
2010,2911,69170,61345,3361,52379
2011,2904,69949,67633,3524,52875
2012,2889,68838,69357,3583,53390
2013,2819,68667,70574,3622,54011
2014,2789,68004,68079,3622,53315
